Timestamp,Department:,Authorized Use: Select All that Apply,Summary Description of Flight,Drone Make & Model:,FAA Provided Drone Registration Number:,Street Address (Area Surveyed):,FAA provided commercial pilot certificate number:,Location (Area Surveyed):,Start Date:,Start Time:,End Date:,End Time:,Type of Data Collected:,Privacy Risks -- Summary of privacy risks associated with this flight:,Privacy Risk Mitigation -- Action taken to mitigate privacy risks:
2024/03/22 2:05:17 PM AST,Utilities,Marketing: Capture video and still photographs.,Two flights capturing photos/videos of lift stations in a 40' orbit.,DJI Mavic 3,FA3KRRL7Y9,"Near - 3611 S Leonard Springs Rd, Near - 3328 W Woodhaven Dr, Near - 2929 S Olcott Blvd was cancelled due to obstacles",4599486,Multiple CBU Lift Stations,03/22/2024 12:00:00 AM,09:30,03/22/2024 12:00:00 AM,10:30,Images;Video,Minimal,Kept camera focused on CBU property as much as possible
2024/04/09 8:57:14 AM AST,Fire,"Inspections: Surveys and assessments of development sites, road improvements, traffic conditions.","The main purpose of the flight plan will be for April 8th the day of the solar eclipse to monitor traffic conditions to assist with responding units by advising what streets are open.   In the event there could be a fire or other emergency related item that a visual view of the area is possible if close to the operation of the flight.  A visual view may be performed to advise incoming units.   

For example if there is a report of smoke in the area that drone operations are being performed and the drone can verify that the smoke is not an emergency such as a grill, responders can be informed to be disregarded to reduce the risk of responding to an emergency call.",DJI Mavic 3,FA3KRRL7Y9,"226 South College Ave,  Bloomington IN 47401",4436136,"Dunn Meadows,  Switch Yard, and Kirkwood",04/08/2024 12:00:00 AM,07:00,04/08/2024 12:00:00 AM,17:00,Images;Video,"Flights were above 150 feet, unable to identify individuals with the exception of City Employees.",Kept drone above buildings or vacant areas when hovering in case of failure to avoid individuals.
2024/04/16 11:04:02 AM AST,Utilities,Marketing: Capture video and still photographs.,Photos/Videos captured of Blucher Wastewater Plant,DJI Mavic 3,FA3KRRL7Y9,"5555 N Bottom Rd, Bloomington, IN 47404",4599486,,04/15/2024 12:00:00 AM,07:30,04/15/2024 12:00:00 AM,08:30,Images;Video,None - photos and videos were only taken of CBU property,Kept camera focused on CBU property
2024/04/16 11:13:44 AM AST,Utilities,Marketing: Capture video and still photographs.,Captured footage of CBU's new street sweeper in use.,DJI Mavic 3,FA3KRRL7Y9,"Side street located at 39.130257, -86.530986/S Walnut St. Completed a nadir shot while tracking the sweeper traveling west, orbiting shot of the truck going east, and post cleaning of the street and storm inlet.",4599486,"Side street located at 39.130257, -86.530986.",04/15/2024 12:00:00 AM,23:45,04/15/2024 12:00:00 AM,12:30,Video,None - video captured only CBU assets,An isolated road with no businesses/homes was chosen to minimize privacy and traffic concerns during the flight
2024/05/22 3:35:26 PM AST,Parks and Recreation,Marketing: Capture video and still photographs.,Switchyard Park Maintenance Building solar panel roof installation photo and video footage. Video circling the new installation.,DJI Mavic 2,4364237,"301 W 2nd Street, Bloomington, IN 47403",4364237,Hopewell East,05/22/2024 12:00:00 AM,13:00,05/22/2024 12:00:00 AM,01:40,Images,PII,"On-site construction personnel only, no members of Public on-site. Photos taken from height where it is difficult to discern anyone in the background."
2024/05/22 3:40:07 PM AST,Parks and Recreation,Marketing: Capture video and still photographs.,Hopewell East photos of the area that will become Hopewell Commons,DJI Mavic 2,FA39YEE7AK,"301 W 2nd Street, Bloomington, IN 47403",4364237,Central area of the Hopewell Commons development located in the eastern portion of the future Hopewell Neighborhood,05/22/2024 12:00:00 AM,12:30,05/22/2024 12:00:00 AM,00:45,Images;Video,PII,"No PII collected, images and video collected at approximately 260 feet AGL to minimize any potential collection of PII. Footage of active construction site only."
2024/05/22 3:44:21 PM AST,Engineering,"Inspections: Surveys and assessments of properties and assets.;Training: Preplanning, assessment and evaluation of emergency response operations.",Training flight at Hopewell East. Secondary mission of collecting footage of construction progress for City of Bloomington Engineering Department,DJI Mavic 2,FA39YEE7AK,"301 W 2nd Street, Bloomington, IN 47403",4364237,Hopewell East construction site,05/22/2024 12:00:00 AM,13:00,05/22/2024 12:00:00 AM,13:40,Images,PII,"Active construction site only, photos from height to noly include construction and City personnel."
2024/06/03 12:15:37 PM AST,HAND Housing and Neighborhood Development,Marketing: Capture video and still photographs.,Broadview Neighborhood cleanup video and photo footage.,DJI Mavic 2,FA39YEE7AK,"705 W Coolidge Drive, Bloomington, IN 47403",4364237,Broadview Learning Center,06/01/2024 12:00:00 AM,09:00,06/01/2024 12:00:00 AM,11:00,Images;Video,PII,No PII collected due to media collection height
2024/06/03 3:02:10 PM AST,Utilities,Marketing: Capture video and still photographs.,Captured photos and videos of Lake Monroe near the spillway,DJI Mavic 3,FA3KRRL7Y9,"39.006752, -86.512574 - flight near Lake Monroe tower, pics and videos collected in a 100' orbit at a max AGL <300' 
39.006614, -86.510252 - flight near Lake Monroe spillway - 750' orbit of spillway at a max AGL <300'",4599486,At and around Lake Monroe Tailwaters,05/31/2024 12:00:00 AM,15:00,05/31/2024 12:00:00 AM,16:10,Images;Video,Minimal - pics and videos were taken at distance from anyone who may have been in frame.,Kept the camera focused on open areas as much as possible.
2024/06/17 10:48:29 AM AST,Planning and Transportation,"Inspections: Surveys and assessments of development sites, road improvements, traffic conditions.;Mapping: Aerial photography for maps, land use mapping, geospatial analysis.",Nadir imagery  capture at the Hopewell East site for production of updated orthoimagery,DJI Inspire,FA3EE74Y4W,"301 W 2nd Street, Bloomington, IN 47403",4364237,Hopewell East Development,06/14/2024 12:00:00 AM,13:30,06/15/2024 12:00:00 AM,11:00,Images,PII,"Active construction site, no citizens on-site. Altitude prevents collection of PII"
