Timestamp,Department:,Authorized Use: Select All that Apply,Summary Description of Flight,Drone Make & Model:,FAA Provided Drone Registration Number:,Street Address (Area Surveyed):,FAA provided commercial pilot certificate number:,Location (Area Surveyed):,Start Date:,Start Time:,End Date:,End Time:,Type of Data Collected:,Privacy Risks -- Summary of privacy risks associated with this flight:,Privacy Risk Mitigation -- Action taken to mitigate privacy risks:
2022/07/11 8:49:25 AM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.,Video Footage of Phase I East area of Hospital Redevelopment project.,DJI Mavic 2,FA39YEE7AK,"W 2nd to W 1st, S Morton to S Rogers",4364237,East area adjacent to former hospital site,07/11/2022 12:00:00 AM,12:00,07/11/2022 12:00:00 AM,15:00,Images;Video,PII,PII will not be collected
2022/07/11 3:36:06 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video and Photo Footage of Funeral Procession for Bob Loviscek,DJI Mavic 2,FA39YEE7AK,"209 S Fairfield Dr, Bloomington, IN 47404",4364237,View of 3rd Street and Valhalla Gardens,07/13/2022 12:00:00 AM,11:45,07/13/2022 12:00:00 AM,13:00,Images;Video,PII,No PII will be collected as media
2022/07/12 10:51:25 AM AST,ITS Information & Technology Services,"Training: Preplanning, assessment and evaluation of emergency response operations.",Location scouting for Bob Loviscek funeral procession,DJI Mavic 2,FA39YEE7AK,W 3rd Corridor from Profile Pkwy to Curry Pk,4364237,W 3rd Corridor from Profile Pkwy to Curry Pk,07/12/2022 12:00:00 AM,15:00,07/12/2022 12:00:00 AM,16:00,No media will be captured during scouting,PII,No media will be collected
2022/10/19 2:03:05 PM AST,ITS Information & Technology Services,"Inspections: Surveys and assessments of development sites, road improvements, traffic conditions.;Inspections: Surveys and assessments of properties and assets.",Video Footage of Phase I East (Hospital Redevelopment),DJI Mavic 2,FA39YEE7AK,"1st to 2nd, Morton to Rogers",4364237,Phase I East (Hopewell Development),10/19/2022 12:00:00 AM,13:00,10/19/2022 12:00:00 AM,14:00,Images;Video,No PII will be collected,No PII will be collected
2022/12/12 3:03:38 PM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.,Video and photo footage of the hospital demolition,DJI Mavic 3,FA3KRRL7Y9,601 W 2nd Street,4364237,Former Bloomington Hospital,12/12/2022 12:00:00 AM,15:00,12/12/2022 12:00:00 AM,16:00,Images;Video,None,N/A
2022/12/12 3:04:53 PM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,,DJI Mavic 3,FA3KRRL7Y9,College & Kirkwood,4364237,Downtown Square looking north,12/12/2022 12:00:00 AM,16:00,12/12/2022 12:00:00 AM,17:00,Images,PII,No PII will be collected
2023/03/01 4:57:20 PM AST,Utilities,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Aerial photos of staging areas around CBU Service Center,DJI Mavic 3,FA3KRRL7Y9,600 E Miller Dr.,4599486,CBU Service Center,02/09/2023 12:00:00 AM,07:30,02/10/2023 12:00:00 AM,10:30,Images,None - the area photographed was entirely CBU Property,Maintained camera focus on CBU property at all times.
2023/03/30 9:29:56 AM AST,ITS Information & Technology Services,"Inspections: Surveys and assessments of development sites, road improvements, traffic conditions.;Marketing: Capture video and still photographs.",UAV footage of the South Griffy Neighborhood Association as a part of the virtual fiber announcement,DJI Mavic 3,FA3KRRL7Y9,"South Griffy Neighborhood, Bloomington, IN",4364237,South Griffy Neighborhood,03/30/2023 12:00:00 AM,15:30,03/30/2023 12:00:00 AM,17:00,Images;Video,Personal Identifiable Information (PII),No PII will be collected
2023/04/10 12:04:28 PM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Collecting video and photo footage of the Hopewell Site (East and West),DJI Mavic 3,FA3KRRL7Y9,"644-698 S Rogers St
Bounded by W 2nd to the North, S Morton to the east, W 1st to the south, and S Euclide to the west",4364237,Hopewell Redevelopment Site (East and West),04/10/2023 12:00:00 AM,15:30,04/10/2023 12:00:00 AM,17:00,Images;Video,PII,No PII will be collected during media capture
2023/04/27 2:05:49 PM AST,Utilities,Marketing: Capture video and still photographs.,Photos of storm water channels in Switchyard Park.,DJI Mavic 3,FA3KRRL7Y9,1601 S. Rogers St.,4599486,"Switchyard Park, near East Parking lots",04/26/2023 12:00:00 AM,12:20,04/26/2023 12:00:00 AM,12:40,Images,None - conducted flight and photos solely over City property,Monitored framing of photos
2023/05/23 3:39:44 PM AST,ITS Information & Technology Services,Search & Rescue: Aerial UAVs.,Search for missing dog,DJI Mavic 3,FA3KRRL7Y9,1400 W RCA Park Drive,4364237,RCA Park and Fields North of RCA Park as Requested by Animal Control,05/23/2023 12:00:00 AM,13:45,05/23/2023 12:00:00 AM,15:00,None,"No PII, no data collected",N/A
2023/06/02 9:37:32 AM AST,Utilities,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Photos and videos taken of the North and South asset storage areas of the Winston Thomas property.,DJI Mavic 3,FA3KRRL7Y9,Near 260 W Gordon Pike,4599486,Winston Thomas Site,06/01/2023 12:00:00 AM,09:30,06/01/2023 12:00:00 AM,11:10,Images;Video,"No privacy risk, videos and photos collected were solely taken of CBU assets and property",Minimized photo and video recordings to CBU assets and property
2023/06/02 4:33:20 PM AST,Utilities,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Project update photos/video were taken of the Winston Thomas Site clean up,DJI Mavic 3,FA3KRRL7Y9,"Near 260 Gordon Pike, Bloomington IN",4599486,North end of Winston Thomas site,06/02/2023 12:00:00 AM,14:00,06/02/2023 12:00:00 AM,14:35,Images;Video,No privacy risk - video/photos of CBU property and assets only,Kept camera targeted on CBU property and assets
2023/06/14 9:23:33 AM AST,Utilities,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Captured final photos of the site clean-up of the south end of the Winston Thomas site.,DJI Mavic 3,FA3KRRL7Y9,"Near 260 W Gordon Pike, Bloomington , IN",4599486,Winston Thomas site,06/14/2023 12:00:00 AM,08:22,06/14/2023 12:00:00 AM,08:30,Images,None - pictures taken of CBU property and assets only,Kept camera focused on CBU property and assets only
2023/06/23 12:57:36 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,"Still photo and video of proposed multiuse path, Griffy, Cascades, Miller-Showers Park",DJI Mavic 3,FA3KRRL7Y9,3300 N Dunn Street,4364237,"Griffy, Cascades, Miller-Showers",06/23/2023 12:00:00 AM,13:30,06/23/2023 12:00:00 AM,15:30,Images;Video,PII,"No PII will be collected, high altitude photos"
2023/07/11 1:30:56 PM AST,Utilities,Inspections: Surveys and assessments of properties and assets.,Flight over Utilities Service Center to capture photos and video of supply storage area for the  planning of an inventory organizing project. Flight over the Customer Service lot on the north end of the property for an outside vendor use in planning of a possible customer service kiosk.,DJI Mavic 3,FA3KRRL7Y9,600 E Miller Dr.,4599486,Utilities Service Center storage yard and north parking lot.,07/11/2023 12:00:00 AM,09:00,07/11/2023 12:00:00 AM,00:50,Images;Video,None - Camera was focused on CBU property throughout flight.,Kept camera focused on CBU property throughout flight.
